 6

     br         1.678470         0.575171          0.000111
      c         0.117567        -0.499488         -0.019153
      c         0.120208        -1.833854         -0.002720
      h        -0.717936        -0.051680          0.170736
      h        -1.042565        -2.117749         -0.035575
      h         0.839460        -2.365885          0.116499
 6

     br         1.684217         0.578557          0.000633
      c         0.081383        -0.391364          0.017367
      c         0.099035        -1.929284         -0.048873
      h        -0.741612         0.269806         -0.072956
      h        -0.918870        -2.592882          0.342922
      h         0.976968        -2.627317          0.056335
 6

     br         1.687243         0.580066          0.000840
      c         0.058556        -0.387898          0.019105
      c         0.102351        -1.948408         -0.047929
      h        -0.682727         0.246246         -0.098705
      h        -0.858951        -2.628428          0.364141
      h         0.854271        -2.499749          0.012852
 6

     br         1.689888         0.581405          0.000922
      c         0.044418        -0.394967          0.020546
      c         0.095148        -1.955082         -0.045166
      h        -0.694208         0.256102         -0.119613
      h        -0.795002        -2.627575          0.355126
      h         0.849230        -2.451551         -0.013665
 6

     br         1.691385         0.582163          0.000946
      c         0.037742        -0.401269          0.021388
      c         0.087895        -1.955894         -0.043219
      h        -0.715365         0.269057         -0.131432
      h        -0.758408        -2.620692          0.344284
      h         0.882660        -2.446010         -0.026008
 6

     br         1.694616         0.583791          0.000956
      c         0.024480        -0.418008          0.023379
      c         0.069064        -1.953748         -0.038533
      h        -0.774790         0.302579         -0.157049
      h        -0.684317        -2.598386          0.314514
      h         0.997558        -2.455396         -0.050879
 6

     br         1.699913         0.586451          0.000977
      c         0.001519        -0.450719          0.025874
      c         0.041998        -1.943082         -0.031731
      h        -0.863094         0.346737         -0.193290
      h        -0.607187        -2.575716          0.280428
      h         1.190350        -2.467843         -0.092734
 6

     br         1.721592         0.597783          0.001360
      c        -0.119158        -0.590961          0.011942
      c         0.023385        -1.859056         -0.016501
      h        -0.912555         0.176428         -0.160986
      h        -0.743297        -2.799926          0.306932
      h         1.339012        -2.290747         -0.196627
 6

     br         1.724535         0.599339          0.001417
      c        -0.137587        -0.607491          0.008659
      c         0.024538        -1.850874         -0.014093
      h        -0.899253         0.130872         -0.144886
      h        -0.752124        -2.813840          0.303182
      h         1.310003        -2.253639         -0.202944
 6

     br         1.727557         0.600939          0.001473
      c        -0.156616        -0.623575          0.005194
      c         0.026139        -1.844158         -0.011510
      h        -0.887028         0.085479         -0.127444
      h        -0.755636        -2.821193          0.296556
      h         1.272430        -2.214596         -0.207570
 6

     br         1.672195         0.566527          0.002679
      c         0.134618        -0.457032         -0.022866
      c         0.106122        -1.790311         -0.030670
      h        -0.742335         0.127238          0.023285
      h        -0.741678        -2.366064          0.402894
      h         1.027144        -2.635392         -0.000289
 6

     br         1.675858         0.568718          0.003695
      c         0.116980        -0.458297         -0.035535
      c         0.106897        -1.805444         -0.029356
      h        -0.789019         0.185846          0.032645
      h        -0.763931        -2.452929          0.512323
      h         1.009019        -2.584517         -0.063777
 6

     br         1.693632         0.579102          0.008593
      c         0.009983        -0.461551         -0.096316
      c         0.083487        -1.895798          0.009370
      h        -0.793180         0.229860          0.059083
      h        -0.552652        -2.480137          0.728668
      h         0.959460        -2.303306         -0.428598
 6

     br         1.695745         0.580318          0.009190
      c        -0.003656        -0.463474         -0.103482
      c         0.077253        -1.903610          0.016087
      h        -0.785502         0.223047          0.061868
      h        -0.508967        -2.464392          0.736394
      h         0.978962        -2.291863         -0.480592
 6

     br         1.709218         0.588035          0.012992
      c        -0.085004        -0.493929         -0.148026
      c         0.050604        -1.932360          0.043393
      h        -0.814636         0.231012          0.097119
      h        -0.279187        -2.430995          0.866820
      h         1.007187        -2.234608         -0.739413
 6

     br         1.728665         0.599299          0.018252
      c        -0.196882        -0.577414         -0.198399
      c         0.047727        -1.923958          0.033375
      h        -0.925778         0.261033          0.142037
      h        -0.027127        -2.501067          1.166539
      h         0.707102        -2.185332         -0.777747
 6

     br         1.681571         0.576150          0.000556
      c         0.107090        -0.513982         -0.009585
      c         0.087413        -1.829273          0.000857
      h        -0.812528         0.256153          0.031177
      h        -0.829558        -2.353753          0.035993
      h         0.990612        -2.397329         -0.007475
 6

     br         1.681248         0.575643          0.000596
      c         0.104811        -0.511088         -0.008880
      c         0.085877        -1.834835          0.003381
      h        -0.787239         0.256570          0.013303
      h        -0.819828        -2.313887          0.034911
      h         1.026629        -2.365786         -0.030155
 6

     br         1.680406         0.573953          0.000589
      c         0.091310        -0.479354         -0.005468
      c         0.093697        -1.859381          0.009051
      h        -0.667473         0.202628         -0.036259
      h        -0.879739        -2.272549          0.028067
      h         1.101021        -2.305342         -0.081535
 6

     br         1.680501         0.573051          0.000512
      c         0.081515        -0.457699         -0.002161
      c         0.104262        -1.875138          0.011984
      h        -0.639312         0.194394         -0.070146
      h        -0.944109        -2.286048          0.019260
      h         1.121129        -2.282605         -0.107230
 6

     br         1.680724         0.572835          0.000458
      c         0.078692        -0.452256         -0.000596
      c         0.107688        -1.879787          0.012796
      h        -0.650514         0.205500         -0.082914
      h        -0.960182        -2.294091          0.014319
      h         1.123855        -2.277911         -0.113689
 6

     br         1.682129         0.572561          0.000213
      c         0.070245        -0.442628          0.005423
      c         0.115257        -1.890463          0.014555
      h        -0.735155         0.266111         -0.124217
      h        -0.974495        -2.323778         -0.006328
      h         1.123743        -2.274272         -0.125262
 6

     br         1.683743         0.572742          0.000017
      c         0.062302        -0.440815          0.009719
      c         0.117212        -1.894321          0.015268
      h        -0.808705         0.305684         -0.149907
      h        -0.951785        -2.346254         -0.022229
      h         1.119789        -2.280758         -0.128066
 6

     br         1.685825         0.573170         -0.000146
      c         0.051194        -0.441088          0.013176
      c         0.116767        -1.895655          0.015830
      h        -0.874882         0.328363         -0.169604
      h        -0.905503        -2.369742         -0.035908
      h         1.114524        -2.293862         -0.129873
 6

     br         1.696711         0.575851         -0.000471
      c        -0.030773        -0.443862          0.019019
      c         0.115485        -1.875944          0.017411
      h        -0.894330         0.177964         -0.185920
      h        -0.698362        -2.536111         -0.067866
      h         1.066865        -2.386762         -0.144983
 6

     br         1.701019         0.576618         -0.000518
      c        -0.071315        -0.445466          0.020825
      c         0.124421        -1.860449          0.017597
      h        -0.838279         0.084116         -0.191448
      h        -0.692580        -2.642269         -0.070247
      h         1.044603        -2.411450         -0.157273
 6

     br         1.704505         0.577388         -0.000602
      c        -0.094095        -0.458929          0.024835
      c         0.129146        -1.848787          0.016750
      h        -0.900270         0.092036         -0.222136
      h        -0.685855        -2.687138         -0.069657
      h         1.042278        -2.412752         -0.158338
 6

     br         1.708521         0.578372         -0.000710
      c        -0.116075        -0.482328          0.031220
      c         0.131317        -1.840495          0.014592
      h        -1.023122         0.156270         -0.277675
      h        -0.657911        -2.671110         -0.056826
      h         1.059029        -2.389542         -0.157641
 6

     br         1.717044         0.581401         -0.000818
      c        -0.186104        -0.524146          0.038788
      c         0.135623        -1.839975          0.006017
      h        -0.987966         0.158230         -0.326270
      h        -0.640616        -2.541323          0.023156
      h         1.122356        -2.265732         -0.168760
 6

     br         1.718376         0.581840         -0.000849
      c        -0.205145        -0.525078          0.040941
      c         0.141715        -1.844318          0.003523
      h        -0.921102         0.139166         -0.334849
      h        -0.669407        -2.527495          0.048686
      h         1.134355        -2.231880         -0.179264
 6

     br         1.720279         0.582457         -0.000927
      c        -0.233286        -0.526083          0.047188
      c         0.152889        -1.852219         -0.000842
      h        -0.833464         0.137517         -0.373019
      h        -0.723125        -2.516197          0.089770
      h         1.153567        -2.183562         -0.198604
 6

     br         1.721755         0.582939         -0.001020
      c        -0.253142        -0.528596          0.055560
      c         0.161446        -1.859135         -0.004652
      h        -0.794715         0.171977         -0.434670
      h        -0.759716        -2.508470          0.120218
      h         1.170535        -2.151037         -0.214437
 6

     br         1.674867         0.556207          0.001040
      c         0.072405        -0.433442          0.003472
      c         0.153631        -1.780595         -0.008536
      h        -0.940328         0.234659         -0.108009
      h        -0.753034        -2.448692          0.163986
      h         1.197619        -2.239654         -0.078280
 6

     br         1.676015         0.556990          0.001078
      c         0.061694        -0.445427         -0.001461
      c         0.166836        -1.784306         -0.012192
      h        -1.011548         0.318774         -0.054343
      h        -0.744976        -2.384788          0.162406
      h         1.139872        -2.262772         -0.031045
 6

     br         1.676702         0.557428          0.001090
      c         0.050687        -0.446467         -0.004113
      c         0.176093        -1.791131         -0.014686
